Id;Id_exclusiva;Nível_da_estrutura_de_tópicos;EDT;Nome;Porcentagem_Prev_Real;Porcentagem_Prev_LB;Duração;Início;Término;Início_da_Linha_de_Base;Término_da_linha_de_base;Área;Responsável_da_Tarefa;Dashboard;Desvio_LB
10;5;4;1.7.1.1;Cortar Produção do Pátio de Finos (Parar Pátio Vazio);100;100;0 hrs;Qui 14/08/25 14:00;Qui 14/08/25 14:00;Qui 14/08/25 09:30;Qui 14/08/25 09:30;Alimentação;Operação;;0
11;6;4;1.7.1.2;Posicionar Recuperadora na Baliza para Limpeza (Fora da Área de Manutenção);100;100;0 hrs;Qui 14/08/25 14:00;Qui 14/08/25 14:00;Qui 14/08/25 09:30;Qui 14/08/25 09:30;Alimentação;Operação;;0
12;7;4;1.7.1.3;Bloqueio Geral da Máquina 3PA5;100;100;1 hr;Qui 14/08/25 14:00;Qui 14/08/25 15:00;Qui 14/08/25 09:30;Qui 14/08/25 10:30;Alimentação;Operação;;0
13;9;4;1.7.1.4;Limpeza Geral 3PA5;100;100;0 hrs;Qui 14/08/25 15:00;Qui 14/08/25 15:00;Qui 14/08/25 10:30;Qui 14/08/25 10:30;Alimentação;Operação;;0
14;10;4;1.7.1.5;Limpeza do Circuito de Alimentação (Transportadores de Correia e Chutes);100;100;6 hrs;Qui 14/08/25 15:00;Qui 14/08/25 21:00;Qui 14/08/25 10:30;Qui 14/08/25 16:30;Alimentação;Operação;;0
15;16;4;1.7.1.6;Posicionar Emenda das Correias;100;100;0,5 hrs;Qui 14/08/25 21:00;Qui 14/08/25 21:30;Qui 14/08/25 16:30;Qui 14/08/25 17:00;Alimentação;Operação;;0
16;18;4;1.7.1.7;Realizar Bloqueio do Circuito do Pátio de Finos;100;100;2 hrs;Qui 14/08/25 21:30;Qui 14/08/25 23:30;Qui 14/08/25 17:00;Qui 14/08/25 19:00;Alimentação;Operação;;0
17;13095;4;1.7.1.8;Realizar Limpeza da 3PA7;100;100;0 hrs;Qui 14/08/25 23:30;Qui 14/08/25 23:30;Qui 14/08/25 19:00;Qui 14/08/25 19:00;Alimentação;;;0
18;485;3;1.7.2;Moagem;100;100;4,5 hrs;Qui 14/08/25 14:00;Qui 14/08/25 18:30;Qui 14/08/25 09:30;Qui 14/08/25 14:00;Moagem;;;0
19;489;4;1.7.2.1;3M6A (Está em Manuntenção);100;100;2,5 hrs;Qui 14/08/25 14:00;Qui 14/08/25 16:30;Qui 14/08/25 09:30;Qui 14/08/25 09:30;Moagem;;;0
20;47;5;1.7.2.1.1;Esvaziar Silo 3M1A;100;100;0 hrs;Qui 14/08/25 14:00;Qui 14/08/25 14:00;Qui 14/08/25 09:30;Qui 14/08/25 09:30;Moagem;Operação;;0
21;48;5;1.7.2.1.2;Lavar Moinho 3M6A;100;100;0 hrs;Qui 14/08/25 15:30;Qui 14/08/25 15:30;Qui 14/08/25 09:30;Qui 14/08/25 09:30;Moagem;Operação;;0
22;50;5;1.7.2.1.3;Realizar Bloqueio Elétrico 3M6A;100;100;0 hrs;Qui 14/08/25 16:30;Qui 14/08/25 16:30;Qui 14/08/25 09:30;Qui 14/08/25 09:30;Moagem;Operação;;0
23;490;4;1.7.2.2;3M6B;100;100;4,5 hrs;Qui 14/08/25 14:00;Qui 14/08/25 18:30;Qui 14/08/25 09:30;Qui 14/08/25 14:00;Moagem;;;0
24;31;5;1.7.2.2.1;Esvaziar Silo 3M1B;100;100;1,5 hrs;Qui 14/08/25 14:00;Qui 14/08/25 15:30;Qui 14/08/25 09:30;Qui 14/08/25 11:00;Moagem;Operação;;0
25;32;5;1.7.2.2.2;Lavar Moinho 3M6B;100;100;1 hr;Qui 14/08/25 15:30;Qui 14/08/25 16:30;Qui 14/08/25 11:00;Qui 14/08/25 12:00;Moagem;Operação;;0
26;34;5;1.7.2.2.3;Realizar Bloqueio Elétrico 3M6B;100;100;2 hrs;Qui 14/08/25 16:30;Qui 14/08/25 18:30;Qui 14/08/25 12:00;Qui 14/08/25 14:00;Moagem;Operação;;0
27;484;3;1.7.3;Espessador;45,41;72;200,5 hrs;Qui 14/08/25 22:00;Sáb 23/08/25 06:30;Qui 14/08/25 11:00;Sex 22/08/25 03:00;Espessador;;;-0,42
28;79;4;1.7.3.1;Retirar Carga do Espessador;100;100;3 hrs;Qui 14/08/25 22:00;Sex 15/08/25 01:00;Qui 14/08/25 11:00;Qui 14/08/25 14:00;Espessador;Operação;;0
29;7830;4;1.7.3.2;Guindaste Patolado para Atendimento ao Espessador;100;100;0 hrs;Sex 15/08/25 04:00;Sex 15/08/25 04:00;Qui 14/08/25 14:00;Qui 14/08/25 14:00;Espessador;Equipamentos Móveis;;0
30;80;4;1.7.3.3;Drenar Água do Espessador até o Nível Zero (Operação Define Rota de Água Para Esvaziar o Espessador);100;100;10 hrs;Sex 15/08/25 08:00;Sex 15/08/25 22:00;Sex 15/08/25 01:00;Sáb 16/08/25 13:00;Espessador;Operação;;0
31;81;4;1.7.3.4;Elevar Pás do Espessador e Posicionar os Braços Longos Conforme Necessidade para Remoção da Camada;100;100;0,5 hrs;Sex 15/08/25 08:00;Sex 15/08/25 08:30;Sex 15/08/25 01:00;Sex 15/08/25 01:30;Espessador;Operação;;0
32;531;4;1.7.3.5;Bloquear Sistema de Giro e Elevação das Pás;100;100;1 hr;Sex 15/08/25 08:30;Sex 15/08/25 09:30;Sex 15/08/25 01:30;Sex 15/08/25 02:30;Espessador;Operação;;0
33;13203;4;1.7.3.6;Montar Andaime Sob Plataforma para Retirada de Piso da Passarela do Sistema de Acionamento da Elevação;100;100;6 hrs;Sáb 16/08/25 08:00;Sáb 16/08/25 15:00;Sex 15/08/25 02:30;Sex 15/08/25 10:30;Espessador;Reframax - EPU;;0
34;13202;4;1.7.3.7;Montar Guarda Corpo na Região de Retirada do Piso Conforme PRO de Abertura de Alçapão e Guarda Corpo;100;100;2 hrs;Sáb 16/08/25 15:00;Sáb 16/08/25 17:00;Sex 15/08/25 10:30;Sex 15/08/25 12:30;Espessador;Reframax - EPU;;0
35;13201;4;1.7.3.8;Realizar Liberação de Abertura de Piso;100;100;2 hrs;Sáb 16/08/25 17:00;Sáb 16/08/25 19:00;Sex 15/08/25 12:30;Sex 15/08/25 16:30;Espessador;Reframax - EPU;;0
36;13200;4;1.7.3.9;Instalar Olhais para Remoção da Engrenagem;0;100;4 hrs;Ter 19/08/25 08:00;Ter 19/08/25 12:00;Sex 15/08/25 12:30;Sex 15/08/25 17:30;Espessador;Reframax - EPU;;0
37;13199;4;1.7.3.10;Abrir Piso Sobre a Unidade 48 (Leste e Oeste);100;100;4 hrs;Sáb 16/08/25 19:00;Sáb 16/08/25 23:00;Sex 15/08/25 16:30;Sex 15/08/25 22:30;Espessador;Reframax - EPU;;0
38;13198;4;1.7.3.11;Desmontar Andaime Sob Plataforma Utilizado para Retirada de Piso Sobre a Unidade 48;100;100;1 hr;Sáb 16/08/25 23:00;Dom 17/08/25 01:00;Sex 15/08/25 22:30;Sáb 16/08/25 01:30;Espessador;Reframax - EPU;;0
39;7858;4;1.7.3.12;Montar Escada Convencional para Acesso ao Espessador (Deixar há 1,70 m da Superfície do Piso);100;100;4 hrs;Sáb 16/08/25 08:00;Sáb 16/08/25 12:00;Sex 15/08/25 22:00;Sáb 16/08/25 03:00;Espessador;Reframax - EPU;;0
40;7859;4;1.7.3.13;Montar Complemento com Escada de Marinheiro Para Acesso ao Espessador;100;100;1 hr;Sáb 16/08/25 12:00;Sáb 16/08/25 13:00;Sáb 16/08/25 03:00;Sáb 16/08/25 04:00;Espessador;Reframax - EPU;;0
41;538;4;1.7.3.14;Posicionar Pá Mecânica Dentro do Espessador;100;100;3 hrs;Seg 18/08/25 01:00;Seg 18/08/25 04:00;Sáb 16/08/25 13:00;Sáb 16/08/25 16:00;Espessador;Equipamentos Móveis;;0
42;13212;4;1.7.3.15;Retirada do Motoredudor Primário M1 Concluida;100;100;0 hrs;Sáb 16/08/25 16:00;Sáb 16/08/25 16:00;Sáb 16/08/25 10:30;Sáb 16/08/25 10:30;Espessador;Reframax - EPU;;0
43;13211;4;1.7.3.16;Retirada do Motoredudor Primário M2 Concluida;100;100;0 hrs;Dom 17/08/25 13:00;Dom 17/08/25 13:00;Sáb 16/08/25 11:30;Sáb 16/08/25 11:30;Espessador;Reframax - EPU;;0
44;13214;4;1.7.3.17;Desmontagem da Unidade 48 ASL M1 (Lado Leste) Concluida;100;100;0 hrs;Dom 17/08/25 05:30;Dom 17/08/25 05:30;Dom 17/08/25 05:30;Dom 17/08/25 05:30;Espessador;Reframax - EPU;;0
45;13213;4;1.7.3.18;Desmontagem da Unidades 48 M2 (Lado Oeste) Concluida;100;100;0 hrs;Dom 17/08/25 15:30;Dom 17/08/25 15:30;Dom 17/08/25 10:30;Dom 17/08/25 10:30;Espessador;Reframax - EPU;;0
46;13146;4;1.7.3.19;Despatolar Guindaste;100;100;8 hrs;Seg 18/08/25 04:00;Seg 18/08/25 12:00;Dom 17/08/25 10:30;Dom 17/08/25 16:30;Espessador;Equipamentos Móveis;;0
47;537;4;1.7.3.20;Retirar Camada do Espessador (Parte 1);63;100;30 hrs;Seg 18/08/25 12:00;Ter 19/08/25 18:00;Dom 17/08/25 16:30;Seg 18/08/25 12:30;Espessador;Equipamentos Móveis;;0
48;7834;4;1.7.3.21;Remover os Indicadores de Posição dos Braços Longos;100;100;2 hrs;Seg 18/08/25 00:00;Seg 18/08/25 02:00;Seg 18/08/25 12:30;Seg 18/08/25 14:30;Espessador;Reframax - EPU;;0
49;13115;4;1.7.3.22;Posicionar Pá Mecânica Fora do Raio de Movimentação dos Braços e Manter a Máquina Desligada;0;100;0,5 hrs;Ter 19/08/25 18:00;Ter 19/08/25 18:30;Seg 18/08/25 14:30;Seg 18/08/25 15:00;Espessador;Equipamentos Móveis;;0
50;824;4;1.7.3.23;Posicionar os Braços de Forma a dar Condição da Limpeza da Segunda Parte do Fundo do Tanque do Espessador;0;100;1 hr;Ter 19/08/25 18:30;Ter 19/08/25 19:30;Seg 18/08/25 15:00;Seg 18/08/25 16:00;Espessador;Operação;;0
51;826;4;1.7.3.24;Retirar Camada do Espessador (Parte 2);0;100;20 hrs;Ter 19/08/25 19:30;Qua 20/08/25 15:30;Seg 18/08/25 16:00;Ter 19/08/25 12:00;Espessador;Equipamentos Móveis;;-0,13
52;829;4;1.7.3.25;Retirar Escada de Marinheiro;0;100;1 hr;Qua 20/08/25 15:30;Qua 20/08/25 16:30;Ter 19/08/25 12:00;Ter 19/08/25 13:00;Espessador;Reframax - EPU;;-0,02
53;828;4;1.7.3.26;Montar Complemento da Escada de Andaime para Acesso ao Interior do Espessador;0;100;4 hrs;Qua 20/08/25 16:30;Qua 20/08/25 20:30;Ter 19/08/25 13:00;Ter 19/08/25 17:00;Espessador;Reframax - EPU;;-0,06
54;7867;4;1.7.3.27;Lavar com Hidrojateamento todo o Espessador (Estrutura Metálica, Parede e Fundo do Tanque);0;38;36 hrs;Qua 20/08/25 20:30;Sex 22/08/25 08:30;Ter 19/08/25 17:00;Qui 21/08/25 05:00;Espessador;Limpeza - EPU;;-0,21
55;7868;4;1.7.3.28;Realizar Bloqueio Elétrico das Bombas de Polpa e 3E4;0;0;4 hrs;Sex 22/08/25 08:30;Sex 22/08/25 12:30;Qui 21/08/25 05:00;Qui 21/08/25 09:00;Espessador;Operação;;0
56;7869;4;1.7.3.29;Realizar Bloqueio Elétrico e Mecânico das Válvulas de Polpa;0;0;4 hrs;Sex 22/08/25 08:30;Sex 22/08/25 12:30;Qui 21/08/25 05:00;Qui 21/08/25 09:00;Espessador;Operação;;0
57;13158;4;1.7.3.30;Levantamento Topográfico da Coluna e Mecanismo Central, Gaiola Central, Braços e Vertedores;0;0;12 hrs;Sex 22/08/25 12:30;Sáb 23/08/25 00:30;Qui 21/08/25 09:00;Qui 21/08/25 21:00;Espessador;Tecnimex;;0
58;13147;4;1.7.3.31;Patolar Guindaste para Remoção da Pá Mecânica;0;0;6 hrs;Sex 22/08/25 17:30;Sáb 23/08/25 00:30;Qui 21/08/25 15:00;Qui 21/08/25 21:00;Espessador;Equipamentos Móveis;;0
59;7870;4;1.7.3.32;Instalar 4 Calços para Apoiar Suportes da Gaiola sobre os Suportes da Coluna Central;0;0;2 hrs;Sáb 23/08/25 00:30;Sáb 23/08/25 02:30;Qui 21/08/25 21:00;Qui 21/08/25 23:00;Espessador;Reframax - EPU;;0
60;7871;4;1.7.3.33;Retirar Bloqueio do Sistema de Elevação dos Braços do Espessador;0;0;1 hr;Sáb 23/08/25 02:30;Sáb 23/08/25 03:30;Qui 21/08/25 23:00;Sex 22/08/25 00:00;Espessador;Operação;;0
61;7872;4;1.7.3.34;Baixar os Braços até Apoiar nos Calços Instalados;0;0;1 hr;Sáb 23/08/25 03:30;Sáb 23/08/25 04:30;Sex 22/08/25 00:00;Sex 22/08/25 01:00;Espessador;Operação;;0
62;7873;4;1.7.3.35;Realizar Bloqueio do Sistema de Elevação dos Braços do Espessador;0;0;1 hr;Sáb 23/08/25 04:30;Sáb 23/08/25 05:30;Sex 22/08/25 01:00;Sex 22/08/25 02:00;Espessador;Operação;;0
63;536;4;1.7.3.36;Retirar Pá Mecânica de Dentro do Espessador;0;0;1 hr;Sáb 23/08/25 05:30;Sáb 23/08/25 06:30;Sex 22/08/25 02:00;Sex 22/08/25 03:00;Espessador;Equipamentos Móveis;;0
64;85;3;1.7.4;Tanque de Água de Processo - 3M14;0;0;114 hrs;Sex 22/08/25 12:30;Qua 27/08/25 06:30;Qui 21/08/25 09:00;Ter 26/08/25 03:00;3M14;;;0
65;7740;4;1.7.4.1;Esvaziar Tanque 3M14;0;0;12 hrs;Sex 22/08/25 12:30;Sáb 23/08/25 00:30;Qui 21/08/25 09:00;Qui 21/08/25 21:00;3M14;Operação;;0
66;7743;4;1.7.4.2;Bloquear Bombas do Tanque 3M14;0;0;2 hrs;Sáb 23/08/25 00:30;Sáb 23/08/25 02:30;Qui 21/08/25 21:00;Qui 21/08/25 23:00;3M14;Operação;;0
67;13092;4;1.7.4.3;Montar Escada de Acesso ao Tanque 3M14;0;0;4 hrs;Sáb 23/08/25 02:30;Sáb 23/08/25 06:30;Qui 21/08/25 23:00;Sex 22/08/25 03:00;3M14;Reframax - EPU;;0
68;13091;4;1.7.4.4;Realizar Limpeza do Tanque 3M14;0;0;96 hrs;Sáb 23/08/25 06:30;Qua 27/08/25 06:30;Sex 22/08/25 03:00;Ter 26/08/25 03:00;3M14;Operação;;0
69;7738;4;1.7.4.5;Tanque 3M14 Liberado para Manutenção;0;0;0 hrs;Qua 27/08/25 06:30;Qua 27/08/25 06:30;Ter 26/08/25 03:00;Ter 26/08/25 03:00;3M14;Operação;;0
70;483;3;1.7.5;Homogeneização;100;44,44;64 hrs;Sex 15/08/25 01:00;Dom 17/08/25 17:00;Qui 14/08/25 14:00;Qui 21/08/25 19:00;Homogeneização;;;1,54
71;102;4;1.7.5.1;Esvaziar Tanques;100;100;1 hr;Sex 15/08/25 01:00;Sex 15/08/25 02:00;Qui 14/08/25 14:00;Qui 14/08/25 22:00;Homogeneização;Operação;;0
72;104;4;1.7.5.2;Realizar Bloqueio das Bombas 3E8A e 3E8B;100;0;4 hrs;Dom 17/08/25 07:00;Dom 17/08/25 11:00;Qui 21/08/25 09:00;Qui 21/08/25 13:00;Homogeneização;Operação;;0,62
73;11988;4;1.7.5.3;Realizar Limpeza do Distribuidor 3E4;100;0;6 hrs;Dom 17/08/25 11:00;Dom 17/08/25 17:00;Qui 21/08/25 13:00;Qui 21/08/25 19:00;Homogeneização;Operação;;0,93
74;482;3;1.7.6;Filtragem;99,99;99,99;9 hrs;Sex 15/08/25 02:00;Sex 15/08/25 11:00;Qui 14/08/25 22:00;Sex 15/08/25 03:30;Filtragem;;;0
75;115;4;1.7.6.1;Esvaziar Filtragem;100;100;0,5 hrs;Sex 15/08/25 02:00;Sex 15/08/25 02:30;Qui 14/08/25 22:00;Qui 14/08/25 22:30;Filtragem;Operação;;0
76;13072;4;1.7.6.2;Jatear Filtros;100;100;1,5 hrs;Sex 15/08/25 02:30;Sex 15/08/25 04:00;Qui 14/08/25 22:30;Sex 15/08/25 00:00;Filtragem;Operação;;0
77;13074;4;1.7.6.3;Posicionar Válvula 3E7 para Bacia;100;100;0,5 hrs;Sex 15/08/25 07:30;Sex 15/08/25 08:00;Sex 15/08/25 00:00;Sex 15/08/25 00:30;Filtragem;Operação;;0
78;117;4;1.7.6.4;Realizar Bloqueio da Filtragem;100;100;3 hrs;Sex 15/08/25 08:00;Sex 15/08/25 11:00;Sex 15/08/25 00:30;Sex 15/08/25 03:30;Filtragem;Operação;;0
79;7809;3;1.7.7;Prensa;100;100;12,5 hrs;Sex 15/08/25 02:30;Sex 15/08/25 15:00;Qui 14/08/25 22:30;Sex 15/08/25 11:00;Prensa;;;0
80;7808;4;1.7.7.1;Esvaziar Coluna da Prensa;100;100;0,5 hrs;Sex 15/08/25 02:30;Sex 15/08/25 03:00;Qui 14/08/25 22:30;Qui 14/08/25 23:00;Prensa;Operação;;0
81;7807;4;1.7.7.2;Realizar Limpeza da Prensa (Garantir Circuito Vazio);100;100;8 hrs;Sex 15/08/25 03:00;Sex 15/08/25 11:00;Qui 14/08/25 23:00;Sex 15/08/25 07:00;Prensa;Operação;;0
82;7806;4;1.7.7.3;Realizar Bloqueio da Prensa;100;100;4 hrs;Sex 15/08/25 11:00;Sex 15/08/25 15:00;Sex 15/08/25 07:00;Sex 15/08/25 11:00;Prensa;Operação;;0
83;481;3;1.7.8;Mistura;100;100;9 hrs;Sex 15/08/25 02:00;Sex 15/08/25 11:00;Qui 14/08/25 22:00;Sex 15/08/25 03:00;Mistura;;;0
84;161;4;1.7.8.1;"Esvaziar Misturadores 3F34 A / B;  3A1 A / B e 3A1C; 3A3A / B e 3A3C / D";100;100;1 hr;Sex 15/08/25 02:00;Sex 15/08/25 03:00;Qui 14/08/25 22:00;Qui 14/08/25 23:00;Mistura;Operação;;0
85;164;4;1.7.8.2;Realizar Bloqueio da Mistura;100;100;4 hrs;Sex 15/08/25 07:00;Sex 15/08/25 11:00;Qui 14/08/25 23:00;Sex 15/08/25 03:00;Mistura;Operação;;0
86;480;3;1.7.9;Pelotamento;100,01;100,01;106 hrs;Sex 15/08/25 03:00;Ter 19/08/25 13:00;Qui 14/08/25 23:00;Sex 15/08/25 11:00;Pelotamento;;;0
87;184;4;1.7.9.1;Esvaziar Silos 3P6 A - F e Esvaziar Circuito de Correias do Pelotamento (Discos 3P10 A-F);100;100;0,5 hrs;Sex 15/08/25 03:00;Sex 15/08/25 03:30;Qui 14/08/25 23:00;Sex 15/08/25 00:00;Pelotamento;Operação;;0
88;11990;4;1.7.9.2;Realizar Limpeza do Circuito de Correias do Pelotamento;100;100;4 hrs;Sex 15/08/25 03:30;Sex 15/08/25 07:30;Sex 15/08/25 00:00;Sex 15/08/25 04:00;Pelotamento;Operação;;0
89;181;4;1.7.9.3;Realizar Bloqueio Elétrico do Pelotamento;100;100;4 hrs;Seg 18/08/25 14:00;Seg 18/08/25 18:00;Sex 15/08/25 04:00;Sex 15/08/25 08:00;Pelotamento;Operação;;0
90;11983;4;1.7.9.4;Procedimento de Limpeza do Deck da Peneira de Rolos Concluído;100;100;0 hrs;Ter 19/08/25 13:00;Ter 19/08/25 13:00;Sex 15/08/25 11:00;Sex 15/08/25 11:00;Pelotamento;Operação;;0
91;479;3;1.7.10;Forno;88,26;100;123,5 hrs;Sex 15/08/25 03:30;Qua 20/08/25 07:00;Sex 15/08/25 00:00;Dom 17/08/25 20:30;Forno;;;0
92;217;4;1.7.10.1;Rodar com Camada até Pós Queima;100;100;0,5 hrs;Sex 15/08/25 03:30;Sex 15/08/25 04:00;Sex 15/08/25 00:00;Sex 15/08/25 00:30;Forno;Operação;;0
93;556;4;1.7.10.2;Esvaziar Silo da Camada de Forramento, Chutes de Camada de Fundo, Camada Lateral e Camada de Emergência;100;100;1 hr;Sex 15/08/25 03:30;Sex 15/08/25 04:30;Sex 15/08/25 00:00;Sex 15/08/25 01:00;Forno;Operação;;0
94;209;4;1.7.10.3;Liberar Procedimento para Não Utilizar NR20 na Região do Forno;100;100;1 hr;Sex 15/08/25 20:00;Sex 15/08/25 21:00;Sex 15/08/25 01:00;Sex 15/08/25 02:00;Forno;Operação;;0
95;213;4;1.7.10.4;Resfriamento Natural do Forno até a Temperatura de 600 °C (Abafamento);100;100;6,5 hrs;Sex 15/08/25 04:30;Sex 15/08/25 11:00;Sex 15/08/25 01:00;Sex 15/08/25 11:00;Forno;Operação;;0
96;7840;4;1.7.10.5;Realizar Pré Limpeza do 3Q21 (Após Rodar com Camada);100;100;2 hrs;Sáb 16/08/25 03:00;Sáb 16/08/25 05:00;Sex 15/08/25 01:00;Sex 15/08/25 11:00;Forno;Operação;;0
97;11979;4;1.7.10.6;Puxar Deck 3P15 A (Superior);100;100;4 hrs;Sáb 16/08/25 01:00;Sáb 16/08/25 05:00;Sex 15/08/25 01:00;Sex 15/08/25 05:00;Forno;PCM 3 e 4;;0
98;11980;4;1.7.10.7;Lonar Motores da 3P15 A / B / C;0;100;1 hr;Ter 19/08/25 07:00;Ter 19/08/25 08:00;Sex 15/08/25 05:00;Sex 15/08/25 06:00;Forno;PCM 3 e 4;;0
99;11981;4;1.7.10.8;Realizar Limpeza dos Decks B / C;0;100;5 hrs;Ter 19/08/25 08:00;Ter 19/08/25 13:00;Sex 15/08/25 06:00;Sex 15/08/25 11:00;Forno;Operação;;0
100;562;4;1.7.10.9;Realizar Bloqueio na Chave de Comando Local da Grelha do Forno para Retirar as Proteções Laterais;100;100;0,5 hrs;Sex 15/08/25 14:00;Sex 15/08/25 14:30;Sex 15/08/25 01:00;Sex 15/08/25 01:30;Forno;Operação;;0
101;561;4;1.7.10.10;Retirar Proteções Laterais ao Longo do Forno e Levantar Selagens Superiores (Selagem Móvel);100;100;29,5 hrs;Sex 15/08/25 14:30;Sáb 16/08/25 20:00;Sex 15/08/25 01:30;Sex 15/08/25 07:30;Forno;Reframax - EPU;;0
102;7837;4;1.7.10.11;Montar Tablado Lateral à Viga de Rolamento dos Carros de Grelha e Linha de Vida para Limpeza dos Trilhos Retos;100;100;29,5 hrs;Sex 15/08/25 14:30;Sáb 16/08/25 20:00;Sex 15/08/25 01:30;Sex 15/08/25 07:30;Forno;Reframax - EPU/ Operação;;0
103;560;4;1.7.10.12;Realizar Desbloqueio na Chave de Comando Local da Grelha do Forno;100;100;0,5 hrs;Sáb 16/08/25 20:00;Sáb 16/08/25 20:30;Sex 15/08/25 07:30;Sex 15/08/25 08:00;Forno;Operação;;0
104;13163;4;1.7.10.13;Bloquear Bombas de Graxa da Grelha;100;100;1 hr;Dom 17/08/25 22:00;Dom 17/08/25 23:00;Sex 15/08/25 08:00;Sex 15/08/25 12:00;Forno;Operação;;0
105;212;4;1.7.10.14;Resfriamento Forçado de 600° até Temperatura Ambiente (Rodar todos os Ventiladores);100;100;42,76 hrs;Sex 15/08/25 11:00;Ter 19/08/25 06:00;Sex 15/08/25 11:00;Sáb 16/08/25 13:00;Forno;Operação;;0
106;206;4;1.7.10.15;Descarregar a Grelha de Pelotas da Usina 3 para a Emergência;100;100;2 hrs;Sex 15/08/25 11:00;Sex 15/08/25 13:00;Sex 15/08/25 11:00;Sex 15/08/25 13:00;Forno;Operação;;0
107;421;4;1.7.10.16;Manter Comporta do 3Q22A para Peneira 3Q87 Fechada;100;100;0 hrs;Sex 15/08/25 13:00;Sex 15/08/25 13:00;Sex 15/08/25 13:00;Sex 15/08/25 13:00;Forno;Operação;;0
108;576;4;1.7.10.17;Cangar Todos os Carros de Grelha da Parte Superior;100;100;3 hrs;Sáb 16/08/25 14:00;Sáb 16/08/25 19:00;Sex 15/08/25 13:00;Sex 15/08/25 16:00;Forno;Operação;;0
109;786;4;1.7.10.18;Retirar Carros de Grelha das Rodas de Abaixamento e Levantamento (14 Carros);100;100;1 hr;Sáb 16/08/25 02:00;Sáb 16/08/25 03:00;Sex 15/08/25 16:00;Sex 15/08/25 19:30;Forno;Operação;;0
110;11993;4;1.7.10.19;Retirar Carros do Retorno da Roda de Levantamento para Passar Cabo de Aço (4 Carros);100;100;1 hr;Sáb 16/08/25 03:00;Sáb 16/08/25 04:00;Sex 15/08/25 19:30;Sex 15/08/25 20:30;Forno;Operação;;0
111;573;4;1.7.10.20;Bloquear Chave A3 para Passar Cabo de Aço;100;100;0,5 hrs;Sáb 16/08/25 04:00;Sáb 16/08/25 04:30;Sex 15/08/25 20:30;Sex 15/08/25 21:00;Forno;Operação;;0
112;13058;4;1.7.10.21;Passar Cabo de Aço na Região Inferior e Puxar Carros do Retorno;100;100;0,5 hrs;Sáb 16/08/25 04:30;Sáb 16/08/25 05:00;Sex 15/08/25 21:00;Sex 15/08/25 22:30;Forno;Operação;;0
113;571;4;1.7.10.22;Desbloquear Chave A3 para Passar Cabo de Aço;100;100;0,5 hrs;Sáb 16/08/25 05:00;Sáb 16/08/25 05:30;Sex 15/08/25 22:30;Sex 15/08/25 23:00;Forno;Operação;;0
114;570;4;1.7.10.23;Retirar Todos os Carros de Grelha da Região Superior - Carga (86 Carros);100;100;20 hrs;Sáb 16/08/25 20:00;Dom 17/08/25 16:00;Sex 15/08/25 23:00;Sáb 16/08/25 13:30;Forno;Operação;;0
115;13161;4;1.7.10.24;Contingência de Falha na Talha e Selagem Inferior;100;100;0 hrs;Dom 17/08/25 16:00;Dom 17/08/25 16:00;Sáb 16/08/25 13:30;Sáb 16/08/25 20:30;Forno;;;0
